Model,Study,Target,MSE_Mean,MSE_Std,MSE_CI_Low,MSE_CI_High,RMSE_Mean,RMSE_Std,RMSE_CI_Low,RMSE_CI_High,MAE_Mean,MAE_Std,MAE_CI_Low,MAE_CI_High,R2_Mean,R2_Std,R2_CI_Low,R2_CI_High,PCC_Mean,PCC_Std,PCC_CI_Low,PCC_CI_High
MLP,ALMANAC,synergy_bliss,16.3117,0.2779,15.9667,16.6567,4.0386,0.0346,3.9957,4.0816,2.9526,0.0269,2.9192,2.986,0.5529,0.0088,0.542,0.5637,0.7467,0.0057,0.7396,0.7538
MLP,ALMANAC,synergy_hsa,13.8407,0.0721,13.7511,13.9302,3.7203,0.0097,3.7083,3.7323,2.7094,0.0062,2.7017,2.7171,0.5922,0.0041,0.5871,0.5974,0.7724,0.0015,0.7705,0.7743
MLP,ALMANAC,synergy_loewe,89.1786,0.777,88.214,90.1433,9.4434,0.0411,9.3924,9.4943,6.1074,0.0658,6.0257,6.1891,0.5783,0.0093,0.5668,0.5899,0.7684,0.0041,0.7633,0.7734
MLP,ALMANAC,synergy_zip,13.0346,0.1054,12.9037,13.1654,3.6103,0.0146,3.5922,3.6284,2.6241,0.0139,2.6069,2.6413,0.5322,0.0028,0.5287,0.5356,0.7353,0.002,0.7328,0.7379
MLP,ASTRAZENECA,synergy_bliss,201700.9615,175272.3474,-15893.5129,419295.4359,396.1473,211.5851,133.4718,658.8228,22.284,6.8033,13.8379,30.7301,-317.8606,620.2896,-1087.9284,452.2072,0.1478,0.1583,-0.0487,0.3443
MLP,ASTRAZENECA,synergy_hsa,75.1129,6.2785,67.3183,82.9074,8.659,0.3657,8.205,9.1131,5.1009,0.1375,4.9302,5.2716,0.1582,0.1387,-0.014,0.3303,0.5026,0.0703,0.4153,0.5898
MLP,ASTRAZENECA,synergy_loewe,937.0305,709.8198,55.814,1818.2469,28.0159,12.3345,12.7031,43.3287,8.8708,0.2141,8.605,9.1365,-0.3466,0.9046,-1.4695,0.7764,0.4143,0.2247,0.1353,0.6932
MLP,ASTRAZENECA,synergy_zip,63857.7406,63877.7018,-15444.1867,143159.6679,213.3454,135.4308,45.2128,381.4779,14.6047,3.4954,10.2652,18.9441,-197.8502,387.4132,-678.8101,283.1098,0.1283,0.2157,-0.1395,0.396
MLP,DYALL,synergy_bliss,33.5372,9.6327,21.5785,45.4958,5.7314,0.8295,4.7017,6.7612,4.4401,0.5165,3.7989,5.0813,-0.0972,0.2737,-0.4369,0.2426,0.3576,0.1575,0.1621,0.5531
MLP,DYALL,synergy_hsa,18.2402,5.8947,10.9222,25.5582,4.2069,0.7364,3.2926,5.1211,3.0288,0.4461,2.475,3.5826,-0.2812,0.8329,-1.3152,0.7529,0.3111,0.2057,0.0558,0.5664
MLP,DYALL,synergy_loewe,241.1008,75.0833,147.8875,334.3141,15.3312,2.4607,12.2764,18.3861,11.3803,2.0959,8.7783,13.9822,-0.5465,0.9421,-1.7161,0.6231,0.5204,0.0849,0.415,0.6258
MLP,DYALL,synergy_zip,20.8473,3.1655,16.9174,24.7773,4.5524,0.3508,4.1169,4.9878,3.741,0.2129,3.4767,4.0053,0.0833,0.1587,-0.1138,0.2803,0.4616,0.1262,0.3049,0.6184
MLP,FALLAHI-SICHANI,synergy_bliss,96.4543,74.3345,4.1706,188.738,8.9178,4.1143,3.8101,14.0255,7.2036,3.6831,2.6311,11.776,-0.5041,1.2396,-2.043,1.0348,0.3342,0.6475,-0.4697,1.1381
MLP,FALLAHI-SICHANI,synergy_hsa,80.8758,48.9962,20.0488,141.7028,8.5662,2.7378,5.1674,11.9651,7.0938,2.2903,4.2504,9.9371,0.2204,0.3407,-0.2026,0.6434,0.6908,0.4349,0.1509,1.2308
MLP,FALLAHI-SICHANI,synergy_loewe,97.4536,28.9974,61.4543,133.4528,9.7551,1.5137,7.8759,11.6343,7.8713,1.4255,6.1016,9.6409,0.3833,0.2627,0.0572,0.7094,0.8251,0.084,0.7208,0.9294
MLP,FALLAHI-SICHANI,synergy_zip,82.7751,65.882,0.9849,164.5653,8.3533,3.6053,3.8774,12.8291,6.764,3.3443,2.6121,10.9159,-0.744,0.9329,-1.9022,0.4143,0.2484,0.564,-0.4518,0.9487
MLP,FLOBAK,synergy_bliss,9.6569,1.1025,8.2882,11.0256,3.1024,0.1795,2.8795,3.3252,2.2615,0.0762,2.1669,2.3561,0.7858,0.0221,0.7584,0.8133,0.8876,0.0133,0.871,0.9041
MLP,FLOBAK,synergy_hsa,10.6664,1.2208,9.1508,12.182,3.2609,0.181,3.0362,3.4856,2.3648,0.0775,2.2686,2.461,0.6713,0.0138,0.6541,0.6885,0.8221,0.008,0.8122,0.8321
MLP,FLOBAK,synergy_loewe,18.4993,0.7997,17.5064,19.4921,4.3001,0.0926,4.1851,4.415,3.2116,0.1078,3.0777,3.3454,0.6562,0.028,0.6214,0.691,0.8139,0.018,0.7915,0.8363
MLP,FLOBAK,synergy_zip,7.0453,1.2436,5.5015,8.5892,2.6435,0.2395,2.3462,2.9408,1.8192,0.0716,1.7302,1.9081,0.7451,0.0392,0.6964,0.7938,0.8637,0.0223,0.8361,0.8913
MLP,FORCINA,synergy_bliss,290.6273,35.865,246.1021,335.1525,17.0154,1.0508,15.7108,18.3199,13.0957,0.4117,12.5847,13.6068,-0.1427,0.0706,-0.2304,-0.055,0.1706,0.0758,0.0765,0.2647
MLP,FORCINA,synergy_hsa,196.9877,40.2066,147.0726,246.9027,13.9616,1.4361,12.1787,15.7444,10.012,0.9157,8.8751,11.1488,0.0316,0.0731,-0.0592,0.1224,0.315,0.0747,0.2223,0.4077
MLP,FORCINA,synergy_loewe,196.5809,38.8104,148.3992,244.7627,13.9515,1.3913,12.2243,15.6788,10.0032,0.8655,8.9287,11.0778,0.033,0.0671,-0.0503,0.1163,0.3139,0.0663,0.2316,0.3962
MLP,FORCINA,synergy_zip,290.6273,35.865,246.1021,335.1525,17.0154,1.0508,15.7108,18.3199,13.0957,0.4117,12.5847,13.6068,-0.1427,0.0706,-0.2304,-0.055,0.1706,0.0758,0.0765,0.2647
MLP,FRIEDMAN,synergy_bliss,117.3463,4.4207,111.8582,122.8345,10.8307,0.2031,10.5787,11.0828,7.9966,0.1107,7.8592,8.134,0.9214,0.0026,0.9182,0.9246,0.9601,0.0013,0.9585,0.9616
MLP,FRIEDMAN,synergy_hsa,106.8152,2.2594,104.0102,109.6201,10.3346,0.1094,10.1987,10.4704,7.665,0.0539,7.598,7.7319,0.722,0.0052,0.7156,0.7285,0.8526,0.0029,0.849,0.8562
MLP,FRIEDMAN,synergy_loewe,138.2319,0.6788,137.3892,139.0746,11.7572,0.0288,11.7214,11.793,8.7821,0.0219,8.7549,8.8093,0.4175,0.0062,0.4098,0.4251,0.6696,0.0043,0.6642,0.675
MLP,FRIEDMAN,synergy_zip,61.3288,1.187,59.8552,62.8025,7.8309,0.0759,7.7367,7.9251,5.6855,0.043,5.6321,5.7389,0.8386,0.0038,0.8338,0.8433,0.9168,0.0018,0.9146,0.9191
MLP,NCATS_2D_3D,synergy_bliss,12.6845,5.4889,5.8702,19.4989,3.4672,0.8144,2.4562,4.4782,2.4947,0.8151,1.4827,3.5067,-2.4993,4.0048,-7.4711,2.4725,-0.0283,0.5756,-0.7429,0.6863
MLP,NCATS_2D_3D,synergy_hsa,17.3908,8.9306,6.3038,28.4778,3.9888,1.2166,2.4785,5.4992,2.7443,0.9314,1.588,3.9006,-1.2831,1.5785,-3.2428,0.6766,-0.0126,0.5636,-0.7123,0.687
MLP,NCATS_2D_3D,synergy_loewe,32.554,24.0081,2.7488,62.3591,5.049,2.6574,1.75,8.348,3.3703,1.8624,1.0581,5.6824,-0.5434,0.5254,-1.1956,0.1089,0.4732,0.371,0.0126,0.9337
MLP,NCATS_2D_3D,synergy_zip,7.406,6.6355,-0.8318,15.6438,2.517,1.0348,1.2324,3.8016,1.938,0.8275,0.9107,2.9654,-3.3651,7.1171,-12.2007,5.4705,0.7459,0.3994,0.2501,1.2417
MLP,NCATS_ES(FAKI_AURKI),synergy_bliss,26.1319,5.2413,19.625,32.6388,5.0886,0.4875,4.4834,5.6939,3.8711,0.2286,3.5873,4.1549,-0.1972,0.0999,-0.3213,-0.0732,0.0853,0.0942,-0.0316,0.2022
MLP,NCATS_ES(FAKI_AURKI),synergy_hsa,15.2075,4.2673,9.9098,20.5052,3.8664,0.5083,3.2353,4.4975,2.7622,0.1683,2.5534,2.9711,-0.2597,0.0866,-0.3672,-0.1522,0.0186,0.0585,-0.0541,0.0913
MLP,NCATS_ES(FAKI_AURKI),synergy_loewe,40.0793,2.9391,36.4306,43.7281,6.3267,0.2296,6.0416,6.6117,5.0351,0.1607,4.8356,5.2346,-0.2733,0.0879,-0.3824,-0.1642,0.1916,0.0301,0.1541,0.229
MLP,NCATS_ES(FAKI_AURKI),synergy_zip,15.7671,1.9748,13.3155,18.2187,3.9634,0.2419,3.6631,4.2637,3.0782,0.1639,2.8748,3.2817,-0.1509,0.1169,-0.2961,-0.0058,0.1405,0.0951,0.0225,0.2586
MLP,NCATS_ES(NAMPT+PARP),synergy_bliss,132.093,11.7597,117.4938,146.6922,11.4818,0.5119,10.8462,12.1173,7.9153,0.191,7.6783,8.1524,0.2371,0.0307,0.199,0.2752,0.5207,0.027,0.4871,0.5542
MLP,NCATS_ES(NAMPT+PARP),synergy_hsa,71.8505,10.4245,58.9088,84.7921,8.4546,0.6082,7.6995,9.2097,5.6409,0.1611,5.4409,5.8409,0.0904,0.0621,0.0133,0.1676,0.4074,0.0541,0.3403,0.4746
MLP,NCATS_ES(NAMPT+PARP),synergy_loewe,149.7128,14.5154,131.6924,167.7332,12.2218,0.5827,11.4984,12.9453,8.3703,0.2828,8.0191,8.7214,0.1685,0.0525,0.1033,0.2337,0.4725,0.0451,0.4166,0.5285
MLP,NCATS_ES(NAMPT+PARP),synergy_zip,80.4365,11.1695,66.5699,94.303,8.9484,0.6027,8.2001,9.6966,6.3707,0.2613,6.0463,6.6951,0.327,0.054,0.2599,0.3941,0.5872,0.0415,0.5356,0.6387
MLP,NCATS_HL,synergy_bliss,569.3017,147.9579,385.6171,752.9863,23.6634,3.0571,19.8681,27.4587,14.559,0.8358,13.5213,15.5966,0.0517,0.1436,-0.1265,0.2299,0.4454,0.0944,0.3282,0.5626
MLP,NCATS_HL,synergy_hsa,91.0924,10.7578,77.737,104.4478,9.5281,0.5548,8.8393,10.2168,7.0471,0.3683,6.5899,7.5044,-0.4593,0.1162,-0.6035,-0.3151,0.1283,0.0627,0.0504,0.2062
MLP,NCATS_HL,synergy_loewe,303.8621,20.5348,278.3689,329.3554,17.422,0.5791,16.7031,18.1409,13.3844,0.7187,12.4921,14.2767,-0.373,0.1448,-0.5527,-0.1932,0.2427,0.0566,0.1723,0.313
MLP,NCATS_HL,synergy_zip,495.0046,166.6121,288.1615,701.8477,21.9412,3.6861,17.365,26.5174,12.9802,1.1144,11.5967,14.3636,0.1604,0.1599,-0.0381,0.3589,0.5077,0.1055,0.3767,0.6387
MLP,ONEIL,synergy_bliss,19.5119,1.0005,18.2698,20.754,4.4158,0.1135,4.2749,4.5566,2.9241,0.0429,2.8708,2.9774,0.6064,0.0147,0.5882,0.6246,0.7809,0.0091,0.7696,0.7921
MLP,ONEIL,synergy_hsa,20.6194,0.9196,19.4777,21.761,4.5397,0.1015,4.4137,4.6657,2.9626,0.0266,2.9297,2.9956,0.5866,0.0116,0.5722,0.601,0.768,0.0087,0.7571,0.7788
MLP,ONEIL,synergy_loewe,64.1582,0.8605,63.0899,65.2265,8.0097,0.0536,7.9431,8.0763,5.2538,0.0485,5.1936,5.3141,0.7238,0.0172,0.7024,0.7451,0.8515,0.0095,0.8397,0.8633
MLP,ONEIL,synergy_zip,12.3975,0.2684,12.0643,12.7307,3.5208,0.0382,3.4734,3.5682,2.5521,0.0257,2.5202,2.5839,0.6336,0.0085,0.6231,0.6441,0.797,0.0057,0.79,0.804
MLP,YOHE,synergy_bliss,70.7677,15.7056,51.2698,90.2656,8.3671,0.8712,7.2856,9.4487,6.6344,0.406,6.1303,7.1384,-0.1744,0.2377,-0.4695,0.1207,0.3164,0.1503,0.1298,0.503
MLP,YOHE,synergy_hsa,28.3207,4.195,23.1127,33.5286,5.3066,0.4006,4.8093,5.8039,4.0074,0.4328,3.47,4.5447,0.0513,0.1203,-0.0981,0.2007,0.4553,0.0623,0.378,0.5327
MLP,YOHE,synergy_loewe,50.5045,11.3226,36.4479,64.561,7.0634,0.7829,6.0914,8.0354,5.4061,0.3322,4.9936,5.8185,-0.0845,0.1801,-0.3081,0.1391,0.3537,0.071,0.2656,0.4417
MLP,YOHE,synergy_zip,70.2429,10.9018,56.7087,83.7771,8.3569,0.6367,7.5665,9.1473,6.5828,0.3636,6.1314,7.0342,-0.3455,0.2095,-0.6056,-0.0855,0.2297,0.1221,0.078,0.3813
RF,ALMANAC,synergy_bliss,20.3266,0.3094,19.9424,20.7107,4.5084,0.0343,4.4658,4.551,3.2145,0.0194,3.1904,3.2386,0.4429,0.0068,0.4344,0.4514,0.6764,0.0056,0.6695,0.6834
RF,ALMANAC,synergy_hsa,18.0463,0.2609,17.7224,18.3703,4.248,0.0307,4.2099,4.2861,2.9937,0.0142,2.9761,3.0114,0.4684,0.0052,0.4619,0.4749,0.6947,0.0038,0.69,0.6995
RF,ALMANAC,synergy_loewe,109.8082,1.8309,107.5352,112.0812,10.4786,0.0876,10.3699,10.5873,7.0325,0.0274,6.9985,7.0664,0.4809,0.002,0.4785,0.4834,0.7068,0.0011,0.7055,0.7082
RF,ALMANAC,synergy_zip,15.4484,0.1533,15.2581,15.6386,3.9304,0.0195,3.9062,3.9546,2.8003,0.0102,2.7876,2.8129,0.4455,0.0048,0.4396,0.4514,0.6777,0.0037,0.6731,0.6822
RF,ASTRAZENECA,synergy_bliss,123928.0221,173041.9605,-90897.5051,338753.5494,279.6369,213.8487,14.1512,545.1225,16.8189,3.6085,12.339,21.2987,-68.4725,133.5143,-234.2259,97.2808,0.2804,0.1759,0.062,0.4988
RF,ASTRAZENECA,synergy_hsa,68.9828,5.9655,61.5768,76.3888,8.2979,0.3572,7.8544,8.7414,4.8667,0.1265,4.7096,5.0238,0.2294,0.111,0.0915,0.3673,0.495,0.0849,0.3895,0.6004
RF,ASTRAZENECA,synergy_loewe,810.5848,669.0708,-20.0432,1641.2127,26.0249,11.5451,11.6921,40.3577,8.3058,0.2405,8.0072,8.6044,-0.0061,0.2136,-0.2712,0.259,0.3872,0.1319,0.2234,0.5509
RF,ASTRAZENECA,synergy_zip,51377.2177,68082.0702,-33144.2856,135898.721,183.3431,133.2762,17.8854,348.8007,12.4824,2.3403,9.5769,15.3878,-57.9284,113.379,-198.6845,82.8276,0.1025,0.0869,-0.0054,0.2104
RF,DYALL,synergy_bliss,26.836,7.2314,17.8585,35.8135,5.1386,0.656,4.3243,5.953,4.0043,0.4842,3.4032,4.6054,0.128,0.1399,-0.0456,0.3016,0.4453,0.1195,0.2969,0.5937
RF,DYALL,synergy_hsa,19.2638,6.7149,10.9274,27.6001,4.3131,0.8128,3.304,5.3222,3.0521,0.4466,2.4977,3.6065,-0.3035,0.7647,-1.2529,0.6458,0.2271,0.2201,-0.0461,0.5003
RF,DYALL,synergy_loewe,193.9206,71.3361,105.3593,282.4819,13.6399,2.806,10.1563,17.1235,10.5008,1.8386,8.2183,12.7833,-0.0634,0.4334,-0.6014,0.4746,0.5359,0.083,0.4329,0.6388
RF,DYALL,synergy_zip,19.0609,4.7693,13.14,24.9819,4.3311,0.5496,3.6488,5.0135,3.2786,0.3369,2.8604,3.6969,0.1765,0.1458,-0.0045,0.3576,0.4802,0.094,0.3635,0.5968
RF,FALLAHI-SICHANI,synergy_bliss,87.995,67.1747,4.5999,171.39,8.4438,4.0861,3.3711,13.5166,7.1426,3.6433,2.6195,11.6656,-0.2649,1.0101,-1.5189,0.9891,0.4743,0.5569,-0.2171,1.1656
RF,FALLAHI-SICHANI,synergy_hsa,78.7284,44.0537,24.0372,133.4196,8.4464,2.7178,5.0723,11.8205,6.9427,2.097,4.3394,9.5461,0.2624,0.2965,-0.1058,0.6305,0.7956,0.2181,0.5248,1.0664
RF,FALLAHI-SICHANI,synergy_loewe,93.7795,25.5148,62.1038,125.4553,9.5871,1.3664,7.8908,11.2834,7.8935,1.1108,6.5145,9.2725,0.4008,0.2587,0.0797,0.722,0.8504,0.0726,0.7602,0.9406
RF,FALLAHI-SICHANI,synergy_zip,80.7505,65.4847,-0.5465,162.0475,8.1886,3.7009,3.594,12.7832,6.8174,3.412,2.5815,11.0532,-0.5136,0.5308,-1.1726,0.1454,0.273,0.4939,-0.3402,0.8862
RF,FLOBAK,synergy_bliss,14.4785,2.0632,11.9171,17.0399,3.7961,0.2603,3.473,4.1193,2.8059,0.1243,2.6516,2.9602,0.6805,0.0257,0.6486,0.7124,0.8448,0.0157,0.8253,0.8642
RF,FLOBAK,synergy_hsa,12.537,1.4581,10.7268,14.3473,3.535,0.202,3.2843,3.7857,2.5919,0.1015,2.4659,2.7179,0.6133,0.0246,0.5828,0.6438,0.7994,0.0144,0.7816,0.8172
RF,FLOBAK,synergy_loewe,24.6694,1.7008,22.5579,26.7809,4.9638,0.174,4.7477,5.1799,3.6923,0.1437,3.5138,3.8708,0.5412,0.0483,0.4812,0.6012,0.7569,0.0389,0.7087,0.8052
RF,FLOBAK,synergy_zip,9.7714,0.6718,8.9374,10.6054,3.1241,0.108,2.99,3.2581,2.1552,0.1061,2.0235,2.287,0.645,0.0268,0.6118,0.6783,0.8186,0.0213,0.7922,0.845
RF,FORCINA,synergy_bliss,237.9173,25.1335,206.715,269.1197,15.4033,0.8097,14.3981,16.4085,11.7651,0.3642,11.3129,12.2172,0.0642,0.0189,0.0408,0.0876,0.2555,0.0414,0.204,0.3069
RF,FORCINA,synergy_hsa,174.1195,33.6627,132.3285,215.9105,13.1302,1.3102,11.5037,14.7567,9.2645,0.7623,8.3181,10.2109,0.1452,0.0288,0.1096,0.1809,0.3947,0.0426,0.3418,0.4476
RF,FORCINA,synergy_loewe,173.8938,33.6842,132.076,215.7116,13.1214,1.3123,11.4923,14.7506,9.2729,0.7622,8.3266,10.2191,0.1466,0.0279,0.112,0.1812,0.3965,0.0389,0.3482,0.4449
RF,FORCINA,synergy_zip,237.9528,25.1843,206.6874,269.2182,15.4044,0.8112,14.3973,16.4114,11.7687,0.3638,11.3171,12.2204,0.0641,0.0191,0.0404,0.0879,0.2551,0.0422,0.2028,0.3075
RF,FRIEDMAN,synergy_bliss,423.9449,10.5422,410.8571,437.0327,20.5883,0.2558,20.2708,20.9059,14.3684,0.137,14.1984,14.5384,0.7162,0.0014,0.7144,0.7179,0.8755,0.0015,0.8737,0.8774
RF,FRIEDMAN,synergy_hsa,142.7948,2.9031,139.1907,146.3989,11.9491,0.1217,11.798,12.1001,8.9812,0.065,8.9005,9.0619,0.6285,0.0029,0.6249,0.6321,0.8145,0.0025,0.8114,0.8176
