drug_name,CID,ex_drug_id
8-Methyl-N-Vanillyl-6-Nonenamide,1548943,401
gabexate,3447,402
CHEMBL3814532,7566371,403
Honokiol,72303,404
CHEMBL3322515,6746983,405
Bardoxolone methyl,400769,406
219773-55-4,9820526,407
WAY-204688,9829162,408
sulfasalazine,5339,409
SCHEMBL2227980,45279469,410
dimethyl but-2-enedioate,12215,411
B022,58221879,412
ISODONOL,5321010,413
702675-74-9,10077147,414
IKK-3 Inhibitor,11626927,415
PHA-408,22291652,416
873225-46-8,9549298,417
PF 184,57519531,418
IMD-0354,5081913,419
200484-11-3,148198,420
PS-1145,9949093,421
MLN120B,9929127,422
445430-58-0,9813758,423
TPCA-1,9903786,424
ACHP,135465539,425
cycloheximide,6197,426
GSK-3 Inhibitor X,135398521,427
667463-62-9,448949,428
TWS119,9549289,429
CHIR-99021,9956119,430
(Phenylindolyl)maleimide deriv. 79,5327721,431
Valproate,3121,432
264218-23-7,4210951,433
CHIR-98014,53396311,434
Kinome_3682,11248978,435
CP-91149,9843900,436
KU-60019,15953870,437
KU-55933,5278396,438
1080622-86-1,44551660,439
SM-164,17756618,440
AT-406,25022340,441
EMBELIN,3218,442
NCGC00346475-01,73265337,443
CHEMBL3417706,68938909,444
SCHEMBL15622193,73265331,445
NCGC00347282-01,73265321,446
NCGC00347283-01,73265338,447
TW-37,11455910,448
gossypol,3503,449
chelerythrine,2703,450
Obatoclax,11404337,451
ABT-737,11228183,452
Navitoclax,24978538,453
ha14-1,3549,454
Venetoclax,49846579,455
BAM7,3101542,456
nutlin-3B,16755649,457
NCGC00263280-01,57519530,458
Serdemetan,11609586,459
HLI373,135403620,460
RITA,374536,461
431979-47-4,1317464,462
58131-57-0,42640,463
APR-246,52918385,464
71555-25-4,5351307,465
MK-1775,24856436,466
AZD7762,11152667,467
Rabusertib,11955855,468
CHIR-124,135399748,469
891494-64-7,46239014,470
PF-477736,135565545,471
SCHEMBL20400776,135440386,472
NCGC00346436-01,136257951,473
BML-277,9969021,474
Flavopiridol,5287969,475
Purvalanol B,448991,476
purvalanol A,456214,477
roscovitine,160355,478
PHA690509,9902100,479
AT7519,11338033,480
nu6102,4566,481
SNS-032,3025986,482
PHA-793887,46191454,483
Palbociclib,5330286,484
BS-181,49867929,485
BMS-265246,135402864,486
Indirubin,10177,487
Milciclib,16718576,488
741713-40-6,6918852,489
602306-29-6,16747683,490
ZINC34894448,ZINC,491
BS-194,25125014,492
Cdk/Crk Inhibitor,135473382,493
NCGC00346827-01,73265332,494
NU6027,398148,495
